entity_label,entity_class,oid,mentioned,entity,
UBERON_0002146,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0002146,
UBERON_0002137,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002137,
UBERON_0002137,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0002137,
UBERON_0002135,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0002135,
UBERON_0002135,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0002135,
UBERON_0003639,Class,hp.owl,20,http://purl.obolibrary.org/obo/UBERON_0003639,
UBERON_0003639,Class,mp.owl,3,http://purl.obolibrary.org/obo/UBERON_0003639,
UBERON_0003645,Class,hp.owl,20,http://purl.obolibrary.org/obo/UBERON_0003645,
UBERON_0003645,Class,mp.owl,3,http://purl.obolibrary.org/obo/UBERON_0003645,
UBERON_0002386,Class,hp.owl,13,http://purl.obolibrary.org/obo/UBERON_0002386,
UBERON_0002386,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002386,
UBERON_0001044,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001044,
UBERON_0001044,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0001044,
UBERON_0003066,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0003066,
UBERON_0003066,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0003066,
UBERON_0004327,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0004327,
UBERON_0004327,Class,mp.owl,1,http://purl.obolibrary.org/obo/UBERON_0004327,
UBERON_0004335,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0004335,
UBERON_0004335,Class,mp.owl,1,http://purl.obolibrary.org/obo/UBERON_0004335,
UBERON_0017295,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0017295,
UBERON_0017295,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0017295,
UBERON_0006904,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0006904,
UBERON_0006904,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0006904,
UBERON_0000941,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0000941,
UBERON_0000941,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0000941,
UBERON_0000481,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0000481,
UBERON_0000481,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0000481,
UBERON_0001716,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001716,
UBERON_0001716,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0001716,
UBERON_0001831,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001831,
UBERON_0001831,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001831,
UBERON_0001987,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0001987,
UBERON_0001987,Class,mp.owl,16,http://purl.obolibrary.org/obo/UBERON_0001987,
UBERON_0000125,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0000125,
UBERON_0000125,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0000125,
UBERON_0001447,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0001447,
UBERON_0001447,Class,mp.owl,5,http://purl.obolibrary.org/obo/UBERON_0001447,
UBERON_0001560,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001560,
UBERON_0001560,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001560,
neoplasm,Class,mp.owl,22,http://purl.obolibrary.org/obo/MP_0002006,
UBERON_0001016,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001016,
UBERON_0001016,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0001016,
UBERON_0002414,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002414,
UBERON_0002414,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0002414,
UBERON_0003891,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0003891,
UBERON_0003891,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0003891,
UBERON_0001224,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001224,
UBERON_0001224,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001224,
UBERON_0002078,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0002078,
UBERON_0002078,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0002078,
UBERON_0002081,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0002081,
UBERON_0002081,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0002081,
UBERON_0002020,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0002020,
UBERON_0002020,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002020,
UBERON_0010707,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0010707,
UBERON_0010707,Class,mp.owl,4,http://purl.obolibrary.org/obo/UBERON_0010707,
split,Class,hp.owl,9,http://purl.obolibrary.org/obo/PATO_0001786,
split,Class,mp.owl,12,http://purl.obolibrary.org/obo/PATO_0001786,
UBERON_0000975,Class,hp.owl,14,http://purl.obolibrary.org/obo/UBERON_0000975,
UBERON_0000975,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0000975,
UBERON_0000965,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000965,
UBERON_0000965,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0000965,
MPATH_476,Class,hp.owl,14,http://purl.obolibrary.org/obo/MPATH_476,
MPATH_476,Class,mp.owl,7,http://purl.obolibrary.org/obo/MPATH_476,
UBERON_0001820,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001820,
UBERON_0001820,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0001820,
is_about,ObjectProperty,nbo.owl,21,http://purl.obolibrary.org/obo/nbo#is_about,
UBERON_0000002,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0000002,
UBERON_0000002,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0000002,
UBERON_0001295,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001295,
UBERON_0001295,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001295,
UBERON_0001467,Class,hp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001467,
UBERON_0001467,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001467,
UBERON_0002422,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002422,
UBERON_0002422,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0002422,
UBERON_0001103,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001103,
UBERON_0001103,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001103,
UBERON_0002397,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002397,
UBERON_0002397,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0002397,
UBERON_0003115,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0003115,
UBERON_0003115,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0003115,
UBERON_0003114,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0003114,
UBERON_0003114,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0003114,
UBERON_0003101,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0003101,
UBERON_0003101,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0003101,
UBERON_0002072,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0002072,
UBERON_0002072,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0002072,
GO_0031974,Class,hp.owl,10,http://purl.obolibrary.org/obo/GO_0031974,
GO_0031974,Class,mp.owl,10,http://purl.obolibrary.org/obo/GO_0031974,
CL_0000188,Class,hp.owl,5,http://purl.obolibrary.org/obo/CL_0000188,
CL_0000188,Class,mp.owl,15,http://purl.obolibrary.org/obo/CL_0000188,
UBERON_0010230,Class,hp.owl,19,http://purl.obolibrary.org/obo/UBERON_0010230,
UBERON_0010230,Class,mp.owl,1,http://purl.obolibrary.org/obo/UBERON_0010230,
decreased functionality,Class,hp.owl,13,http://purl.obolibrary.org/obo/PATO_0001624,
decreased functionality,Class,mp.owl,7,http://purl.obolibrary.org/obo/PATO_0001624,
UBERON_0000991,Class,hp.owl,12,http://purl.obolibrary.org/obo/UBERON_0000991,
UBERON_0000991,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000991,
UBERON_0000956,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000956,
UBERON_0000956,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0000956,
in_response_to,ObjectProperty,nbo.owl,20,http://purl.obolibrary.org/obo/nbo#in_response_to,
UBERON_0001776,Class,hp.owl,5,http://purl.obolibrary.org/obo/UBERON_0001776,
UBERON_0001776,Class,mp.owl,15,http://purl.obolibrary.org/obo/UBERON_0001776,
UBERON_0001359,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0001359,
UBERON_0001359,Class,mp.owl,3,http://purl.obolibrary.org/obo/UBERON_0001359,
UBERON_0000162,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0000162,
UBERON_0000162,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0000162,
UBERON_0003636,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0003636,
UBERON_0003636,Class,mp.owl,3,http://purl.obolibrary.org/obo/UBERON_0003636,
UBERON_0003650,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0003650,
UBERON_0003650,Class,mp.owl,3,http://purl.obolibrary.org/obo/UBERON_0003650,
UBERON_0001137,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001137,
UBERON_0001137,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001137,
UBERON_0001211,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0001211,
UBERON_0001211,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0001211,
UBERON_0003867,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0003867,
UBERON_0003867,Class,mp.owl,3,http://purl.obolibrary.org/obo/UBERON_0003867,
UBERON_0001232,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001232,
UBERON_0001232,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001232,
UBERON_0001225,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001225,
UBERON_0001225,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001225,
UBERON_0001153,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0001153,
UBERON_0001153,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0001153,
GO_0032420,Class,hp.owl,1,http://purl.obolibrary.org/obo/GO_0032420,
GO_0032420,Class,mp.owl,18,http://purl.obolibrary.org/obo/GO_0032420,
UBERON_0004454,Class,hp.owl,12,http://purl.obolibrary.org/obo/UBERON_0004454,
UBERON_0004454,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0004454,
UBERON_0004145,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0004145,
UBERON_0004145,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0004145,
UBERON_0000978,Class,hp.owl,12,http://purl.obolibrary.org/obo/UBERON_0000978,
UBERON_0000978,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0000978,
obstructed,Class,hp.owl,10,http://purl.obolibrary.org/obo/PATO_0000648,
obstructed,Class,mp.owl,9,http://purl.obolibrary.org/obo/PATO_0000648,
UBERON_0001702,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001702,
UBERON_0001702,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001702,
UBERON_0000440,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0000440,
UBERON_0000440,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0000440,
regulates,ObjectProperty,nbo.owl,19,http://purl.obolibrary.org/obo/RO_0002211,
UBERON_0002331,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002331,
UBERON_0002331,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002331,
UBERON_0002358,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0002358,
UBERON_0002358,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0002358,
UBERON_0001213,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0001213,
UBERON_0001213,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001213,
UBERON_0001231,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001231,
UBERON_0001231,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0001231,
UBERON_0003079,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0003079,
UBERON_0003079,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0003079,
UBERON_0004720,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0004720,
UBERON_0004720,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0004720,
UBERON_0002079,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0002079,
UBERON_0002079,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0002079,
UBERON_0004103,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0004103,
UBERON_0004103,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0004103,
UBERON_0005501,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0005501,
UBERON_0005501,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0005501,
UBERON_0005502,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0005502,
UBERON_0005502,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0005502,
cell,Class,hp.owl,3,http://purl.obolibrary.org/obo/GO_0005623,
cell,Class,mp.owl,15,http://purl.obolibrary.org/obo/GO_0005623,
CL_0000746,Class,hp.owl,2,http://purl.obolibrary.org/obo/CL_0000746,
CL_0000746,Class,mp.owl,16,http://purl.obolibrary.org/obo/CL_0000746,
CL_0000601,Class,mp.owl,18,http://purl.obolibrary.org/obo/CL_0000601,
severe intensity,Class,hp.owl,13,http://purl.obolibrary.org/obo/PATO_0000396,
severe intensity,Class,mp.owl,5,http://purl.obolibrary.org/obo/PATO_0000396,
UBERON_0000958,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0000958,
UBERON_0000958,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0000958,
UBERON_0001733,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001733,
UBERON_0001733,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001733,
UBERON_0001834,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001834,
UBERON_0001834,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001834,
UBERON_0001896,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001896,
UBERON_0001896,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001896,
UBERON_0001983,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001983,
UBERON_0001983,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001983,
UBERON_0001905,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001905,
UBERON_0001905,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001905,
UBERON_0010166,Class,hp.owl,2,http://purl.obolibrary.org/obo/UBERON_0010166,
UBERON_0010166,Class,mp.owl,16,http://purl.obolibrary.org/obo/UBERON_0010166,
UBERON_0000045,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000045,
UBERON_0000045,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0000045,
UBERON_0001285,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001285,
UBERON_0001285,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001285,
UBERON_0000159,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000159,
UBERON_0000159,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0000159,
UBERON_0001555,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001555,
UBERON_0001555,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001555,
UBERON_0002120,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002120,
UBERON_0002120,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002120,
UBERON_0002182,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002182,
UBERON_0002182,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002182,
UBERON_0003641,Class,hp.owl,16,http://purl.obolibrary.org/obo/UBERON_0003641,
UBERON_0003641,Class,mp.owl,2,http://purl.obolibrary.org/obo/UBERON_0003641,
UBERON_0002286,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0002286,
UBERON_0002286,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002286,
lacking processual parts,Class,hp.owl,11,http://purl.obolibrary.org/obo/PATO_0001558,
lacking processual parts,Class,mp.owl,5,http://purl.obolibrary.org/obo/PATO_0001558,
lacking processual parts,Class,nbo.owl,2,http://purl.obolibrary.org/obo/PATO_0001558,
increased curvature,Class,hp.owl,7,http://purl.obolibrary.org/obo/PATO_0001592,
increased curvature,Class,mp.owl,11,http://purl.obolibrary.org/obo/PATO_0001592,
UBERON_0003868,Class,hp.owl,16,http://purl.obolibrary.org/obo/UBERON_0003868,
UBERON_0003868,Class,mp.owl,2,http://purl.obolibrary.org/obo/UBERON_0003868,
UBERON_0002521,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002521,
UBERON_0002521,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002521,
UBERON_0004363,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0004363,
UBERON_0004363,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0004363,
UBERON_0005928,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0005928,
UBERON_0005928,Class,mp.owl,6,http://purl.obolibrary.org/obo/UBERON_0005928,
UBERON_0003216,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0003216,
UBERON_0003216,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0003216,
lacks all parts of type,Class,hp.owl,5,http://purl.obolibrary.org/obo/PATO_0002000,
lacks all parts of type,Class,mp.owl,12,http://purl.obolibrary.org/obo/PATO_0002000,
UBERON_0006333,Class,hp.owl,2,http://purl.obolibrary.org/obo/UBERON_0006333,
UBERON_0006333,Class,mp.owl,15,http://purl.obolibrary.org/obo/UBERON_0006333,
UBERON_0007120,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0007120,
UBERON_0007120,Class,mp.owl,6,http://purl.obolibrary.org/obo/UBERON_0007120,
progressive,Class,hp.owl,14,http://purl.obolibrary.org/obo/PATO_0001818,
progressive,Class,mp.owl,3,http://purl.obolibrary.org/obo/PATO_0001818,
MPATH_579,Class,hp.owl,5,http://purl.obolibrary.org/obo/MPATH_579,
MPATH_579,Class,mp.owl,12,http://purl.obolibrary.org/obo/MPATH_579,
UBERON_0001736,Class,hp.owl,4,http://purl.obolibrary.org/obo/UBERON_0001736,
UBERON_0001736,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001736,
GO_0060048,Class,hp.owl,1,http://purl.obolibrary.org/obo/GO_0060048,
GO_0060048,Class,mp.owl,16,http://purl.obolibrary.org/obo/GO_0060048,
UBERON_0001844,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001844,
UBERON_0001844,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001844,
UBERON_0001828,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001828,
UBERON_0001828,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001828,
UBERON_0001811,Class,hp.owl,10,http://purl.obolibrary.org/obo/UBERON_0001811,
UBERON_0001811,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0001811,
CHEBI_28087,Class,hp.owl,4,http://purl.obolibrary.org/obo/CHEBI_28087,
CHEBI_28087,Class,mp.owl,13,http://purl.obolibrary.org/obo/CHEBI_28087,
UBERON_0001442,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0001442,
UBERON_0001464,Class,hp.owl,12,http://purl.obolibrary.org/obo/UBERON_0001464,
UBERON_0001464,Class,mp.owl,5,http://purl.obolibrary.org/obo/UBERON_0001464,
GO_0008015,Class,hp.owl,1,http://purl.obolibrary.org/obo/GO_0008015,
GO_0008015,Class,mp.owl,16,http://purl.obolibrary.org/obo/GO_0008015,
UBERON_0001681,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001681,
UBERON_0001681,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0001681,
UBERON_0002196,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0002196,
UBERON_0002196,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002196,
UBERON_0003466,Class,hp.owl,16,http://purl.obolibrary.org/obo/UBERON_0003466,
UBERON_0003466,Class,mp.owl,1,http://purl.obolibrary.org/obo/UBERON_0003466,
aneurysm,Class,mp.owl,17,http://purl.obolibrary.org/obo/MP_0003279,
UBERON_0002360,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0002360,
UBERON_0002360,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0002360,
UBERON_0003866,Class,hp.owl,15,http://purl.obolibrary.org/obo/UBERON_0003866,
UBERON_0003866,Class,mp.owl,2,http://purl.obolibrary.org/obo/UBERON_0003866,
UBERON_0003863,Class,hp.owl,15,http://purl.obolibrary.org/obo/UBERON_0003863,
UBERON_0003863,Class,mp.owl,2,http://purl.obolibrary.org/obo/UBERON_0003863,
UBERON_0003862,Class,hp.owl,15,http://purl.obolibrary.org/obo/UBERON_0003862,
UBERON_0003862,Class,mp.owl,2,http://purl.obolibrary.org/obo/UBERON_0003862,
UBERON_0001173,Class,hp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001173,
UBERON_0001173,Class,mp.owl,6,http://purl.obolibrary.org/obo/UBERON_0001173,
UBERON_0002470,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0002470,
UBERON_0002470,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002470,
UBERON_0003054,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0003054,
UBERON_0003054,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0003054,
UBERON_2100936,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_2100936,
UBERON_2100936,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_2100936,
UBERON_0004362,Class,hp.owl,5,http://purl.obolibrary.org/obo/UBERON_0004362,
UBERON_0004362,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0004362,
UBERON_0003100,Class,hp.owl,9,http://purl.obolibrary.org/obo/UBERON_0003100,
UBERON_0003100,Class,mp.owl,7,http://purl.obolibrary.org/obo/UBERON_0003100,
UBERON_0002094,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0002094,
UBERON_0002094,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0002094,
UBERON_0004187,Class,hp.owl,2,http://purl.obolibrary.org/obo/UBERON_0004187,
UBERON_0004187,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0004187,
CL_0000169,Class,hp.owl,2,http://purl.obolibrary.org/obo/CL_0000169,
CL_0000169,Class,mp.owl,14,http://purl.obolibrary.org/obo/CL_0000169,
CL_0000019,Class,hp.owl,6,http://purl.obolibrary.org/obo/CL_0000019,
CL_0000019,Class,mp.owl,10,http://purl.obolibrary.org/obo/CL_0000019,
UBERON_0006049,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0006049,
UBERON_0006049,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0006049,
UBERON_0006050,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0006050,
UBERON_0006050,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0006050,
UBERON_0006052,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0006052,
UBERON_0006052,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0006052,
increased mass density,Class,hp.owl,15,http://purl.obolibrary.org/obo/PATO_0001788,
increased mass density,Class,mp.owl,1,http://purl.obolibrary.org/obo/PATO_0001788,
UBERON_0010363,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0010363,
UBERON_0010363,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0010363,
UBERON_0000926,Class,hp.owl,7,http://purl.obolibrary.org/obo/UBERON_0000926,
UBERON_0000926,Class,mp.owl,9,http://purl.obolibrary.org/obo/UBERON_0000926,
CL_0000589,Class,mp.owl,16,http://purl.obolibrary.org/obo/CL_0000589,
GO_0120025,Class,hp.owl,8,http://purl.obolibrary.org/obo/GO_0120025,
GO_0120025,Class,mp.owl,8,http://purl.obolibrary.org/obo/GO_0120025,
UBERON_0000490,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000490,
UBERON_0000490,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0000490,
UBERON_0001771,Class,hp.owl,5,http://purl.obolibrary.org/obo/UBERON_0001771,
UBERON_0001771,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0001771,
paralysed,Class,hp.owl,9,http://purl.obolibrary.org/obo/PATO_0000763,
paralysed,Class,mp.owl,7,http://purl.obolibrary.org/obo/PATO_0000763,
UBERON_0001851,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001851,
UBERON_0001851,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001851,
UBERON_0001846,Class,hp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001846,
UBERON_0001846,Class,mp.owl,8,http://purl.obolibrary.org/obo/UBERON_0001846,
UBERON_0001818,Class,hp.owl,2,http://purl.obolibrary.org/obo/UBERON_0001818,
UBERON_0001818,Class,mp.owl,14,http://purl.obolibrary.org/obo/UBERON_0001818,
GO_0098794,Class,hp.owl,8,http://purl.obolibrary.org/obo/GO_0098794,
GO_0098794,Class,mp.owl,8,http://purl.obolibrary.org/obo/GO_0098794,
UBERON_0001977,Class,hp.owl,16,http://purl.obolibrary.org/obo/UBERON_0001977,
UBERON_0001954,Class,hp.owl,3,http://purl.obolibrary.org/obo/UBERON_0001954,
UBERON_0001954,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0001954,
deviation towards the medial side,Class,hp.owl,16,http://purl.obolibrary.org/obo/PATO_0002177,
GO_0009593,Class,hp.owl,8,http://purl.obolibrary.org/obo/GO_0009593,
GO_0009593,Class,mp.owl,8,http://purl.obolibrary.org/obo/GO_0009593,
UBERON_0003451,Class,hp.owl,6,http://purl.obolibrary.org/obo/UBERON_0003451,
UBERON_0003451,Class,mp.owl,10,http://purl.obolibrary.org/obo/UBERON_0003451,
